Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Insertion,4900,Uniforme,1,6.1130,6027760,6032669,SI
Merge,4900,Uniforme,1,0.8350,54030,120816,SI
Radix,4900,Uniforme,1,0.1650,NA,49000,SI
Timsort,4900,Uniforme,1,0.4360,79837,122883,SI
Insertion,26666,Uniforme,1,152.0890,177027699,177054373,SI
Merge,26666,Uniforme,1,3.6250,358834,787776,SI
Radix,26666,Uniforme,1,0.8000,NA,266660,SI
Timsort,26666,Uniforme,1,2.2660,491717,786198,SI
Insertion,254426,Uniforme,1,12436.3270,16157510793,16157765231,SI
Merge,254426,Uniforme,1,42.9190,4248034,9143900,SI
Radix,254426,Uniforme,1,7.7670,NA,2544260,SI
Timsort,254426,Uniforme,1,30.3110,5482103,9073829,SI
Insertion,2564,Uniforme,1,1.1750,1678045,1680615,SI
Merge,2564,Uniforme,1,0.2810,25885,58472,SI
Radix,2564,Uniforme,1,0.0700,NA,25640,SI
Timsort,2564,Uniforme,1,0.1560,39699,60012,SI
Insertion,251851,Uniforme,1,12016.5610,15809236505,15809488362,SI
Merge,251851,Uniforme,1,42.5910,4201619,9046050,SI
Radix,251851,Uniforme,1,8.2590,NA,2518510,SI
Timsort,251851,Uniforme,1,28.0890,5418255,8967507,SI
Insertion,5115,Uniforme,1,5.1620,6614517,6619639,SI
Merge,5115,Uniforme,1,0.6600,56735,126836,SI
Radix,5115,Uniforme,1,0.1340,NA,51150,SI
Timsort,5115,Uniforme,1,0.3770,83115,127746,SI
Insertion,584,Uniforme,1,0.0650,84379,84968,SI
Merge,584,Uniforme,1,0.0590,4630,10800,SI
Radix,584,Uniforme,1,0.0220,NA,5840,SI
Timsort,584,Uniforme,1,0.0320,7727,11182,SI
Insertion,665962,Uniforme,1,86691.8310,110937922117,110938588084,SI
Merge,665962,Uniforme,1,123.9100,12056842,25873252,SI
Radix,665962,Uniforme,1,30.2440,NA,6659620,SI
Timsort,665962,Uniforme,1,95.7940,15511673,26073595,SI
Insertion,55151,Uniforme,1,570.7900,758971892,759027046,SI
Merge,55151,Uniforme,1,8.4320,799842,1744062,SI
Radix,55151,Uniforme,1,1.5830,NA,551510,SI
Timsort,55151,Uniforme,1,5.1570,1070184,1731004,SI
