Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Insertion,100,Uniforme,1,0.0060,2715,2817,SI
Merge,100,Uniforme,1,0.0180,547,1344,SI
Radix,100,Uniforme,1,0.0060,NA,1000,SI
Timsort,100,Uniforme,1,0.0070,1089,1397,SI
Insertion,100,Uniforme,2,0.0070,2604,2707,SI
Merge,100,Uniforme,2,0.0130,536,1344,SI
Radix,100,Uniforme,2,0.0050,NA,1000,SI
Timsort,100,Uniforme,2,0.0070,1075,1385,SI
Insertion,100,Uniforme,3,0.0060,2875,2979,SI
Merge,100,Uniforme,3,0.0140,538,1344,SI
Radix,100,Uniforme,3,0.0050,NA,1000,SI
Timsort,100,Uniforme,3,0.0060,1038,1353,SI
Insertion,100,Ordenado,1,0.0010,99,198,SI
Merge,100,Ordenado,1,0.0070,356,1344,SI
Radix,100,Ordenado,1,0.0030,NA,400,SI
Timsort,100,Ordenado,1,0.0020,224,592,SI
Insertion,100,Ordenado,2,0.0010,99,198,SI
Merge,100,Ordenado,2,0.0060,356,1344,SI
Radix,100,Ordenado,2,0.0020,NA,400,SI
Timsort,100,Ordenado,2,0.0010,224,592,SI
Insertion,100,Ordenado,3,0.0000,99,198,SI
Merge,100,Ordenado,3,0.0040,356,1344,SI
Radix,100,Ordenado,3,0.0020,NA,400,SI
Timsort,100,Ordenado,3,0.0010,224,592,SI
Insertion,100,Reverso,1,0.0180,4950,5148,SI
Merge,100,Reverso,1,0.0100,316,1344,SI
Radix,100,Reverso,1,0.0030,NA,600,SI
Timsort,100,Reverso,1,0.0040,1566,2086,SI
Insertion,100,Reverso,2,0.0070,4950,5148,SI
Merge,100,Reverso,2,0.0070,316,1344,SI
Radix,100,Reverso,2,0.0030,NA,600,SI
Timsort,100,Reverso,2,0.0040,1566,2086,SI
Insertion,100,Reverso,3,0.0080,4950,5148,SI
Merge,100,Reverso,3,0.0050,316,1344,SI
Radix,100,Reverso,3,0.0040,NA,600,SI
Timsort,100,Reverso,3,0.0050,1566,2086,SI
Insertion,100,Casi_Ordenado,1,0.0020,292,391,SI
Merge,100,Casi_Ordenado,1,0.0100,417,1344,SI
Radix,100,Casi_Ordenado,1,0.0020,NA,400,SI
Timsort,100,Casi_Ordenado,1,0.0020,363,702,SI
Insertion,100,Casi_Ordenado,2,0.0020,336,435,SI
Merge,100,Casi_Ordenado,2,0.0070,455,1344,SI
Radix,100,Casi_Ordenado,2,0.0020,NA,400,SI
